date,daily_rain
2020-07-17,4.24
2020-07-18,21.25
2020-07-19,0.61
2020-07-20,0.04
2020-07-21,0.52
2020-07-22,0.04
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,1.1
2020-07-27,1.37
2020-07-28,1.07
2020-07-29,0.87
2020-07-30,0.01
2020-07-31,0.22
2020-08-01,1.17
2020-08-02,2.68
2020-08-03,0.13
2020-08-04,0.15
2020-08-05,0
2020-08-06,0
2020-08-07,8.86
2020-08-08,7.45
2020-08-09,7.81
2020-08-10,0.14
2020-08-11,0
2020-08-12,0
2020-08-13,7.56
2020-08-14,0
2020-08-15,0.42
2020-08-16,0
2020-08-17,0
2020-08-18,2.48
2020-08-19,0.01
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,1.86
2020-08-24,0.15
2020-08-25,9.48
2020-08-26,2.18
2020-08-27,2.66
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0.04
2020-09-03,0.01
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,1.44
2020-09-11,0.02
2020-09-12,4.15
